FishID,DO,Mass,Length,Condition Factor,Catchability ,bodyL,bodyW,eyeH,headH,caudalW,a,b,c,body ratio,head ratio,caudal ratio,head angle,BlueMean,GreenMean,RedMean,BlueStdDev,GreenStdDev,RedStdDev,BlueMin,GreenMin,RedMin,BlueMax,GreenMax,RedMax,Marks
21,15.7,1.46,59,0.710880859,1,178.4040358,33.01514804,6,24.0208243,21.21320344,19.20937271,15.8113883,24.0208243,0.185058303,0.249783268,0.118905401,86.03534528,82.16277778,86.30344444,90.92066667,12.14588889,16.03277778,23.26711111,61,56.77777778,40.11111111,110.1111111,123.5555556,143.3333333,9
22,15.7,1.22,48,1.103153935,1,150.0033333,27.01851217,6,21,17.11724277,16.2788206,14.2126704,21,0.180119412,0.285714286,0.114112416,86.77895978,69.626125,69.466125,68.4185,9.965,13.337625,20.36075,51.875,45.625,25.125,89.5,95.75,105.5,8
23,15.6,1.08,52,0.768092854,1,159.3141551,30.01666204,7,23,16.03121954,18.60107524,13.60147051,23,0.188411771,0.304347826,0.100626461,89.77353565,63.08836364,62.32136364,57.56745455,9.489363636,13.273,25.62690909,50.90909091,45.54545455,19.63636364,82.27272727,89,101.5454545,11
24,15.4,1.59,58,0.814916561,1,181.5406291,36.22154055,5.099019514,23.53720459,22.09072203,19.72308292,16.15549442,23.53720459,0.199523053,0.21663658,0.121684728,81.33586457,97.49118182,98.34072727,89.78181818,12.64990909,17.64472727,26.85054545,83.09090909,77.90909091,57.63636364,117.7272727,125.9090909,130.2727273,11
25,15.4,2.69,66,0.935665192,1,200.5617112,44.04543109,9.219544457,25.3179778,22.02271555,17.80449381,18.60107524,25.3179778,0.219610367,0.364150112,0.109805184,88.09661115,75.265,73.991875,66.55,11.471,15.023875,23.024,57.375,49.75,24.25,104.125,111,118.25,8
26,15.3,1.1,52,0.782316796,1,155,31.40063694,6.08276253,23.08679276,14.14213562,15.62049935,16.2788206,23.08679276,0.202584754,0.263473692,0.091239585,92.70487599,98.520375,95.317625,80.402875,10.37625,15.221375,24.63825,81.25,69.625,32.75,123.125,132.375,136.625,8
27,15.3,1.09,52,0.775204825,1,156.6269453,32.38826948,6.708203932,22.84731932,18.43908891,15.26433752,18.78829423,22.84731932,0.206786064,0.29361011,0.117726161,83.5936214,61.31736364,60.56127273,55.89390909,7.943363636,11.85527273,21.78209091,51.63636364,46.45454545,27,74.09090909,79.36363636,87.27272727,11
28,15.3,1.19,48,1.076027199,1,144.4991349,31.25699922,6.08276253,21.37755833,15.03329638,17.20465053,15.65247584,21.37755833,0.216312708,0.28453963,0.104037276,81.02737339,74.61869231,72.20469231,63.99146154,10.37738462,14.43038462,23.73776923,62.53846154,55.30769231,32.76923077,92.38461538,96.84615385,101.7692308,13
29,15.3,1.95,63,0.779853388,1,189.2141644,35.35533906,7,24.51530134,20.39607805,16.64331698,17.20465053,24.51530134,0.186853554,0.285535956,0.107793611,92.80245152,80.075875,81.767,69.14175,14.91,19.71525,28.40575,61.375,54.75,20.375,119.875,132.375,132.375,8
30,15.3,3.5,76,0.797310104,1,226.373585,45.54119015,9.219544457,28.63564213,26.07680962,20.24845673,20.24845673,28.63564213,0.201177139,0.321960458,0.115193695,90,75.244125,76.7415,70.51025,11.453625,16.314125,26.52275,56.5,49.75,21.625,96.625,107.375,116.125,8
31,15.3,1.49,56,0.848442055,1,169.1892432,35.12833614,6.08276253,24.51530134,18.02775638,17.02938637,19.41648784,24.51530134,0.20762748,0.248121059,0.106553798,84.27216468,90.562,88.557625,93.359125,7.98375,10.561,15.3865,72.375,65.5,53.875,115,120.75,136.5,8
32,15.3,1.41,53,0.947090551,1,165.0030303,34.05877273,6.08276253,21.21320344,20.09975124,17.20465053,14.76482306,21.21320344,0.206413014,0.286744176,0.121814437,82.76307797,75.457,74.5475,68.8931,8.8604,12.7043,20.336,61.8,55.3,35.6,96.1,105.1,114.7,10
33,15,1.36,53,0.91350578,1,163.1103921,35,4,23,21.58703314,16.97056275,16.2788206,23,0.214578603,0.173913043,0.132346154,87.51044708,62.1863,61.5603,48.8127,9.7923,13.3717,21.7104,49.6,44.6,15,87.1,95.8,98,10
34,14.9,5.05,85,0.822308162,1,251.1613028,55.00909016,8,31,30.59411708,24.20743687,19.20937271,31,0.219018971,0.258064516,0.121810632,90.36964506,76.76509091,73.48872727,68.37554545,10.57163636,13.866,21.68845455,61,52.90909091,31.45454545,98.09090909,101.0909091,107.3636364,11
35,14.8,0.72,42,0.971817298,1,129.3135724,29.06888371,5.099019514,20.09975124,16.03121954,16.40121947,13.89244399,20.09975124,0.224793757,0.253685702,0.12397167,82.68784513,91.6934,89.2268,82.1872,9.5843,12.5508,17.6613,71.6,61.9,41.4,115.5,119.8,123.5,10
36,14.7,2.42,67,0.804620249,1,204.0098037,39.01281841,7.071067812,29.06888371,26.07680962,24.8394847,20.59126028,29.06888371,0.191230116,0.243252128,0.127821355,78.95369655,52.7295,56.32575,49.50025,9.2745,12.771125,21.3105,41.5,41.25,20.625,69.125,78.875,83.25,8
37,14.6,5.25,85,0.854874822,1,257.0019455,54.03702434,9.055385138,33,32,24.75883681,22.6715681,33,0.210259203,0.27440561,0.124512676,88.06024267,70.75775,70.9725,69.693375,8.98725,12.381375,19.302,55.875,50,32.25,90.125,98,109.25,8
38,14.6,1.95,59,0.949464161,1,181.1767093,37.33630941,6.708203932,26.2488095,23.40939982,19.72308292,19.6977156,26.2488095,0.206076761,0.255562216,0.129207556,83.49694406,88.42555556,89.03155556,90.706,8.457777778,11.42866667,15.857,68.77777778,62,50.77777778,110.5555556,119.8888889,133.1111111,9
39,14.3,2.15,64,0.820159912,1,194.0025773,42.04759208,8,28,21.09502311,21.21320344,19.84943324,28,0.216737286,0.285714286,0.108735788,85.91438322,68.21088889,67.81566667,64.58811111,7.316555556,10.13044444,16.79477778,55.77777778,49.88888889,31.66666667,85.77777778,92.22222222,100.8888889,9
40,14.3,2.05,67,0.681599798,1,201.0024875,39.11521443,7,25.07987241,23.02172887,19.10497317,18.60107524,25.07987241,0.194600649,0.279108278,0.114534547,83.37493413,63.32557143,64.38614286,65.353,9.822,13.53014286,20.93228571,48.14285714,42,22,89.71428571,100.8571429,116.4285714,7
41,14.1,1.66,58,0.85079339,1,178.3395638,36,9.055385138,25.07987241,18.43908891,19.10497317,18.60107524,25.07987241,0.201862106,0.36106185,0.103393148,83.37493413,73.7842,71.1804,70.9025,6.8359,9.2018,14.6419,61.5,53.1,41.3,89.3,91,99.8,10
42,14.1,1.63,57,0.880162857,1,201.5589244,37.21558813,7,27.01851217,26.07680962,20.51828453,19.20937271,27.01851217,0.184638751,0.259081624,0.129375614,85.63474226,66.55688889,67.83511111,59.81,8.493444444,11.17122222,17.29411111,50.33333333,46.55555556,22.11111111,84.88888889,91.44444444,94.66666667,9
43,14.1,2.2,68,0.699674333,1,213.0023474,44.28317965,8.062257748,27.07397274,28.0713377,22.02271555,18.86796226,27.07397274,0.207899961,0.297786284,0.131788865,82.53292336,72.25372727,77.12209091,81.89663636,8.236818182,11.37027273,16.34345455,57.63636364,56.81818182,49.54545455,92.81818182,106,121.6363636,11
44,14,2.85,70,0.83090379,1,155.5442059,31,5.099019514,19,18.11077028,15.62049935,12.20655562,19,0.199300256,0.268369448,0.116434876,85.18644911,80.33054545,78.51872727,73.78272727,9.737363636,12.24490909,18.454,64.18181818,56.72727273,35.54545455,101.5454545,105.0909091,109.4545455,11
45,13.8,1.06,52,0.753868912,1,229.0021834,51.00980298,10,31,25.07987241,24.04163056,22.02271555,31,0.222748108,0.322580645,0.109518049,84.47245985,56.013,55.7558,50.9066,7.0458,9.727,16.7626,47.8,44,30.8,68.8,72.8,76.2,5
46,13.7,3.9,76,0.888431258,1,167.0838113,34.525353,8,24,18.02775638,18.43908891,18.43908891,24,0.206634938,0.333333333,0.107896488,81.20258929,90.74655556,91.99477778,88.05711111,14.67711111,19.60755556,25.51577778,66.44444444,58.22222222,34.22222222,120.5555556,131.5555556,134.8888889,9
47,13.6,1.37,58,0.70216081,1,195.1256006,38.01315562,8,25,24.0208243,19.79898987,17.80449381,25,0.194813779,0.32,0.123104422,83.15722659,59.72866667,62.55977778,60.96811111,7.800777778,10.29588889,15.98533333,45.44444444,43.77777778,28.55555556,74.77777778,82,88.55555556,9
48,13.3,2.14,65,0.779244424,1,228.019736,47.26520919,8,28,32.14031736,23.60084744,16.64331698,28,0.207285606,0.285714286,0.140954103,86.35087446,70.89736364,71.20418182,64.65972727,10.24854545,13.57172727,19.40090909,55.18181818,50.63636364,33,94.09090909,102,106.3636364,11
49,13,3.91,76,0.890709287,1,206,44.04543109,9,28,23.08679276,22.02271555,22.02271555,28,0.213812772,0.321428571,0.11207181,78.9449197,77.78225,78.87025,77.92575,11.536875,14.19875,18.792375,61,56.625,42,109.375,118.875,128.375,8
50,12.7,2.71,68,0.861871565,1,231.0086578,47.16990566,8,29,22.09072203,21.21320344,20.51828453,29,0.204191073,0.275862069,0.095627247,88.02506599,79.601375,81.12775,81.026125,10.07425,14.918625,22.54675,62.625,56.25,37.75,106.5,120,135.125,8
51,12.7,3.47,76,0.790476017,1,190.0236827,40,10.04987562,24.0208243,23.08679276,21.21320344,16.64331698,24.0208243,0.210500078,0.418381796,0.121494292,77.73522627,112.0742727,112.6053636,106.8075455,13.94545455,18.46872727,23.21063636,84.36363636,75.36363636,57.81818182,135.4545455,143.3636364,145.1818182,11
52,12.6,2.23,62,0.935685274,1,208.0024038,43.01162634,8,27,20.02498439,22.8035085,16.64331698,27,0.206784275,0.296296296,0.096272851,84.86024262,85.20885714,85.86542857,84.93971429,15.99542857,21.05028571,27.76157143,60.42857143,53.42857143,37,121.7142857,133.2857143,146.4285714,7
53,12.4,2.54,69,0.773190384,1,183.613725,38,9.055385138,24.0208243,21.09502311,18.60107524,19.10497317,24.0208243,0.206956207,0.376980616,0.114888052,79.13274134,88.07518182,89.112,86.29427273,13.98463636,18.16536364,24.33045455,65.09090909,59.63636364,45.18181818,117.0909091,126.8181818,133.8181818,11
54,12.2,1.85,60,0.856481481,1,243.1316516,54,7,27.16615541,27.45906044,22.20360331,20.51828453,27.16615541,0.222101893,0.257673561,0.112939061,78.86271894,47.142375,46.593625,43.2715,7.290375,9.999,14.49975,32.375,26.5,11.875,62.625,68.375,73.5,8
55,12.2,4.87,82,0.883257643,1,259.0945773,53.33854141,11.04536102,33.06055051,29.06888371,29.06888371,24.41311123,33.06055051,0.20586514,0.334094891,0.112194103,75.80710407,99.0915,102.984375,106.54525,12.99925,16.597625,19.23625,77.625,75.25,71.25,131.375,145,156.625,8
56,12.2,5.62,87,0.853450933,1,186.0671922,36.12478374,6,26,18.02775638,17.69180601,19.10497317,26,0.194149131,0.230769231,0.096888421,89.83048635,71.418875,70.12425,67.576375,13.06425,16.46875,22.161625,48.375,40.25,16.375,101.125,107.625,116.125,8
57,12,1.92,62,0.805612433,1,194.257561,40.04996879,7,24,20.24845673,18.02775638,13.45362405,24,0.206169421,0.291666667,0.104235102,98.29714497,60.24869231,60.07730769,54.42892308,7.958,10.30838462,16.07546154,49.15384615,45.69230769,29,79.46153846,84.46153846,89.46153846,13
58,11.9,2.18,65,0.793809741,1,185.3267385,41.01219331,8,24,24.08318916,17.69180601,17.69180601,24,0.221296687,0.333333333,0.129949889,85.41877991,70.12423077,70.20523077,62.26092308,9.871923077,13.27661538,20.98915385,55.76923077,50.69230769,27.30769231,89.84615385,96,99.23076923,13
59,11.9,2.02,61,0.88994233,1,193.3132173,41.19465985,7.071067812,23.19482701,23.08679276,19.23538406,13.41640786,23.19482701,0.213097999,0.30485538,0.119426871,88.66778015,72.09533333,71.83666667,70.83933333,9.110888889,11.38777778,14.31488889,57.22222222,52.77777778,42.33333333,94.22222222,99.44444444,104.3333333,9
60,11.9,2.67,66,0.928708573,1,179.0446872,42.01190308,11.04536102,26.17250466,19.02629759,17.80449381,18.43908891,26.17250466,0.23464479,0.422021551,0.106265636,92.44406806,86.33128571,88.34371429,87.091,8.999571429,11.83928571,15.58814286,74.57142857,72.42857143,65.42857143,107.8571429,116.7142857,125.1428571,7
61,11.7,1.79,59,0.87155941,1,251.0975906,52.08646657,7,32.01562119,29.83286778,25.45584412,23.60084744,32.01562119,0.207435151,0.218643267,0.118809853,81.38435182,70.72522222,69.41188889,59.37688889,9.345777778,12.81511111,21.96877778,57.33333333,51.22222222,21.55555556,92.88888889,99,105.1111111,9
62,11.6,4.94,84,0.833468308,1,203.061567,42.04759208,6,25.01999201,27.29468813,18.43908891,18.38477631,25.01999201,0.207068195,0.23980823,0.134415825,85.60129465,101.9278571,107.972,104.301,11.59514286,15.37185714,19.42642857,79,75.85714286,60.71428571,125.2857143,139.8571429,143.4285714,7
63,11.6,2.5,67,0.831219266,1,218.013761,48.25971405,8.062257748,26.68332813,26.07680962,23.32380758,18.97366596,26.68332813,0.221360862,0.302145883,0.119610842,77.47119229,61.7445,60.627,53.531375,7.530375,9.946875,15.90025,48.25,43.125,19.625,81.5,86.25,89,8
64,11.5,3.39,73,0.871427213,1,172.002907,38.01315562,6,24.0208243,22.02271555,19.20937271,15.8113883,24.0208243,0.221002984,0.249783268,0.12803688,86.03534528,71.35585714,76.51942857,72.74514286,9.846571429,12.87142857,19.24842857,50.28571429,48.85714286,26.28571429,96.28571429,109.1428571,119.5714286,7
65,10.9,1.8,55,1.081893313,1,196.0102038,42.19004622,7.071067812,27.01851217,25.07987241,24.08318916,17.49285568,27.01851217,0.215244132,0.261711961,0.127951871,79.3302172,62.89925,64.398125,61.1265,9.346625,12.257625,18.263875,49,45.875,30.125,85.625,93.875,101.125,8
66,10.8,2.34,65,0.852071006,1,195,36.12478374,7,25.01999201,24.0208243,19.10497317,19.20937271,25.01999201,0.185255301,0.279776268,0.123183714,81.53871186,93.56033333,93.10644444,79.85788889,12.26488889,15.30322222,20.63866667,71.66666667,65.66666667,39.44444444,116.3333333,121.6666667,117.3333333,9
67,10.8,2.1,66,0.730444945,1,161.1117625,32.24903099,4.123105626,20.61552813,17.72004515,16.64331698,15.23154621,20.61552813,0.20016559,0.2,0.109986042,80.46336424,79.64028571,79.01457143,74.65657143,10.49271429,13.88542857,19.23685714,63.42857143,56,39,104.7142857,112.4285714,118.7142857,7
68,10.7,1.19,52,0.846324533,1,174.8284874,33.37663854,5.099019514,27.45906044,18.02775638,22.8035085,21.02379604,27.45906044,0.190910755,0.185695338,0.103116813,77.47119229,60.4,59.068,51.63883333,4.491666667,6.080166667,11.32366667,53.66666667,50.16666667,33.83333333,67.5,68.66666667,67.5,6
69,19.9,1.8,62,0.755261656,2,141.3541651,30.59411708,6.32455532,22.56102835,17.4642492,17.80449381,17.88854382,22.56102835,0.216435908,0.280330986,0.12354959,78.40782459,116.6086,116.4817,101.3454,9.0404,11.8646,17.2973,102.6,96.1,69.5,132.8,137.9,130.4,10
70,18.8,1.23,49,1.04548275,2,148.8623525,28.0713377,5.099019514,22.56102835,15.03329638,19.20937271,18.38477631,22.56102835,0.188572444,0.226010066,0.1009879,73.7203268,103.316,104.4588889,87.43166667,12.01211111,15.37411111,20.29633333,87.11111111,82.33333333,52.88888889,127,134.6666667,126,9
